m	532	751	0	0	0	1	1m	100	1	20480
m	588	760	0	0	0	1	1m	100	1	60003

m	568	714	0	0	0	7	1m	100	1	20001
m	570	707	0	0	0	7	1m	100	1	20011

m	565	687	0	0	0	7	1m	100	1	9003
m	560	673	0	0	0	7	1m	100	1	20016

m	543	691	0	0	0	1	1m	100	1	11000
m	513	696	0	0	0	1	1m	100	1	11002
m	519	729	0	0	0	1	1m	100	1	11004

m	531	712	0	0	0	7	1m	100	1	20831

m	214	530	0	0	0	7	1m	100	1	20800
m	570	467	0	0	0	7	1m	100	1	20810

m	484	679	0	0	0	1	1m	100	1	9001
m	484	728	0	0	0	4	1m	100	1	9002

m	502	747	0	0	0	4	1m	100	1	20823

m	990	973	0	0	0	7	1m	100	1	20836




